satellite_catalog_number,international_designator,epoch_year,epoch_day,mean_motion_derivative,mean_motion_derivative_2nd,bstar_drag_term,element_number,inclination,right_ascension,eccentricity,argument_of_perigee,mean_anomaly,mean_motion,revolution_number_at_epoch
32666,06057ER,08,071.04336536,.10873726,11199-4,11169-2,999,058.1882,299.5109,0010405,021.1802,339.9194,16.37040777,163
32667,57.7080,65,.0304 005095,034.8845,29.8426,6.237413,283,06057ET,08093.7,859910,.0795715,11259-,26435-3 0,999
32669,06057EU,08,086.66975538,.09031651,10954-4,10956-2,999,058.6242,231.4666,0014391,053.9120,306.5254,16.35361952,402
32670,57.7957,15,.7330 004978,041.8996,19.0415,6.143999,173,06057EW,08099.5,446044,.0751945,11178-,12481-2 0,999
32672,06057EX,08,094.55618103,.08559867,10812-4,45933-2,999,056.4513,206.7155,0069712,121.8440,280.1333,16.13369545,582
32673,58.7681,24,.6645 005351,120.2140,50.0124,6.312849,480,06057EZ,08066.5,689105,.0929252,11295-,10532-2 0,999
32675,06057FA,08,128.41217513,.03741151,11035-4,19648-3,999,058.4979,042.0080,0011981,099.2178,263.8489,16.41524506,1069
32676,58.6360,51,.2694 001815,139.7431,28.7504,6.508646,293,06057FC,08079.6,945393,.0492801,10934-,31037-3 0,999
32678,06057FD,08,073.70433008,.23079035,11224-4,30725-2,999,058.1426,291.4268,0022373,053.9247,309.0084,16.33930309,265
32679,57.9466,56,.7719 007984,106.3561,55.8405,6.157233,780,06057FF,08076.8,573335,.1099531,10495-,98637-2 0,999
32681,06057FG,08,093.77522721,.05264938,10379-4,28692-2,999,058.4271,213.8754,0084161,086.8823,280.5502,16.10970411,569
32682,56.6083,67,.6127 014335,089.3118,73.0871,5.899271,348,06057FJ,08088.7,119072,.4021894,10984-,44218-2 0,999
32684,06057FK,08,074.06150767,.04616440,96885-5,42101-2,999,059.9302,299.5486,0104870,055.5597,301.5795,16.01180378,265
32685,57.6354,45,.5891 006579,208.4505,65.4570,6.187600,1349,08008A,08273.0,186473,.0003711,00000-,19651-3 0,999
32687,08008B,08,069.69664560,-.04773439,77562-2,-81171-2,999,051.6396,170.3503,0008051,199.5483,317.9464,16.01301421,7
